Loaded 4000 images from jk_zfls/round0_train
Loaded 2400 images from jk_zfls/round0_eval
Epoch: 0, Batch: 0, Loss: 3.1024
Epoch: 0, Batch: 10, Loss: 1.0384
Epoch: 0, Batch: 20, Loss: 0.3496
Epoch: 0, Batch: 30, Loss: 0.1963

Incorrect predictions:
Sample 0: True label = 0, Predicted = 1
Sample 275: True label = 2, Predicted = 13
Sample 276: True label = 2, Predicted = 3
Sample 277: True label = 2, Predicted = 3
Sample 278: True label = 2, Predicted = 13
Sample 279: True label = 2, Predicted = 18
Sample 280: True label = 2, Predicted = 3
Sample 281: True label = 2, Predicted = 3
Sample 282: True label = 2, Predicted = 3
Sample 283: True label = 2, Predicted = 18
Sample 284: True label = 2, Predicted = 18
Sample 285: True label = 2, Predicted = 13
Sample 286: True label = 2, Predicted = 3
Sample 287: True label = 2, Predicted = 3
Sample 288: True label = 2, Predicted = 3
Sample 289: True label = 2, Predicted = 13
Sample 290: True label = 2, Predicted = 3
Sample 291: True label = 2, Predicted = 3
Sample 292: True label = 2, Predicted = 13
Sample 293: True label = 2, Predicted = 13
Sample 294: True label = 2, Predicted = 3
Sample 295: True label = 2, Predicted = 3
Sample 296: True label = 2, Predicted = 1
Sample 297: True label = 2, Predicted = 19
Sample 298: True label = 2, Predicted = 19
Sample 299: True label = 2, Predicted = 3
Sample 400: True label = 4, Predicted = 18
Sample 401: True label = 4, Predicted = 18
Sample 402: True label = 4, Predicted = 18
Sample 403: True label = 4, Predicted = 18
Sample 404: True label = 4, Predicted = 18
Sample 405: True label = 4, Predicted = 18
Sample 406: True label = 4, Predicted = 18
Sample 407: True label = 4, Predicted = 18
Sample 408: True label = 4, Predicted = 18
Sample 409: True label = 4, Predicted = 18
Sample 410: True label = 4, Predicted = 9
Sample 411: True label = 4, Predicted = 18
Sample 412: True label = 4, Predicted = 18
Sample 413: True label = 4, Predicted = 18
Sample 414: True label = 4, Predicted = 18
Sample 415: True label = 4, Predicted = 18
Sample 416: True label = 4, Predicted = 18
Sample 417: True label = 4, Predicted = 18
Sample 418: True label = 4, Predicted = 18
Sample 419: True label = 4, Predicted = 18
Sample 420: True label = 4, Predicted = 18
Sample 421: True label = 4, Predicted = 18
Sample 422: True label = 4, Predicted = 18
Sample 423: True label = 4, Predicted = 18
Sample 424: True label = 4, Predicted = 18
Sample 425: True label = 4, Predicted = 18
Sample 426: True label = 4, Predicted = 18
Sample 427: True label = 4, Predicted = 18
Sample 428: True label = 4, Predicted = 18
Sample 429: True label = 4, Predicted = 18
Sample 430: True label = 4, Predicted = 18
Sample 431: True label = 4, Predicted = 18
Sample 432: True label = 4, Predicted = 18
Sample 433: True label = 4, Predicted = 9
Sample 434: True label = 4, Predicted = 18
Sample 435: True label = 4, Predicted = 18
Sample 436: True label = 4, Predicted = 18
Sample 437: True label = 4, Predicted = 18
Sample 438: True label = 4, Predicted = 18
Sample 439: True label = 4, Predicted = 18
Sample 440: True label = 4, Predicted = 18
Sample 441: True label = 4, Predicted = 18
Sample 442: True label = 4, Predicted = 18
Sample 443: True label = 4, Predicted = 18
Sample 444: True label = 4, Predicted = 18
Sample 445: True label = 4, Predicted = 18
Sample 446: True label = 4, Predicted = 18
Sample 447: True label = 4, Predicted = 18
Sample 448: True label = 4, Predicted = 18
Sample 449: True label = 4, Predicted = 18
Sample 450: True label = 4, Predicted = 18
Sample 451: True label = 4, Predicted = 18
Sample 452: True label = 4, Predicted = 18
Sample 453: True label = 4, Predicted = 18
Sample 454: True label = 4, Predicted = 18
Sample 455: True label = 4, Predicted = 9
Sample 456: True label = 4, Predicted = 18
Sample 457: True label = 4, Predicted = 18
Sample 458: True label = 4, Predicted = 18
Sample 459: True label = 4, Predicted = 18
Sample 460: True label = 4, Predicted = 18
Sample 461: True label = 4, Predicted = 18
Sample 462: True label = 4, Predicted = 18
Sample 463: True label = 4, Predicted = 18
Sample 464: True label = 4, Predicted = 18
Sample 465: True label = 4, Predicted = 18
Sample 466: True label = 4, Predicted = 9
Sample 467: True label = 4, Predicted = 18
Sample 468: True label = 4, Predicted = 18
Sample 469: True label = 4, Predicted = 18
Sample 470: True label = 4, Predicted = 0
Sample 471: True label = 4, Predicted = 18
Sample 472: True label = 4, Predicted = 18
Sample 473: True label = 4, Predicted = 18
Sample 474: True label = 4, Predicted = 18
Sample 475: True label = 4, Predicted = 18
Sample 476: True label = 4, Predicted = 18
Sample 477: True label = 4, Predicted = 18
Sample 478: True label = 4, Predicted = 18
Sample 479: True label = 4, Predicted = 18
Sample 480: True label = 4, Predicted = 18
Sample 481: True label = 4, Predicted = 18
Sample 482: True label = 4, Predicted = 18
Sample 483: True label = 4, Predicted = 18
Sample 484: True label = 4, Predicted = 18
Sample 485: True label = 4, Predicted = 9
Sample 486: True label = 4, Predicted = 18
Sample 487: True label = 4, Predicted = 18
Sample 488: True label = 4, Predicted = 18
Sample 489: True label = 4, Predicted = 9
Sample 490: True label = 4, Predicted = 18
Sample 491: True label = 4, Predicted = 18
Sample 492: True label = 4, Predicted = 18
Sample 493: True label = 4, Predicted = 18
Sample 494: True label = 4, Predicted = 18
Sample 495: True label = 4, Predicted = 18
Sample 496: True label = 4, Predicted = 18
Sample 497: True label = 4, Predicted = 18
Sample 498: True label = 4, Predicted = 18
Sample 499: True label = 4, Predicted = 18
Sample 500: True label = 5, Predicted = 7
Sample 501: True label = 5, Predicted = 7
Sample 502: True label = 5, Predicted = 1
Sample 503: True label = 5, Predicted = 18
Sample 504: True label = 5, Predicted = 18
Sample 505: True label = 5, Predicted = 6
Sample 506: True label = 5, Predicted = 18
Sample 507: True label = 5, Predicted = 7
Sample 508: True label = 5, Predicted = 18
Sample 509: True label = 5, Predicted = 1
Sample 510: True label = 5, Predicted = 7
Sample 511: True label = 5, Predicted = 18
Sample 512: True label = 5, Predicted = 16
Sample 513: True label = 5, Predicted = 1
Sample 514: True label = 5, Predicted = 1
Sample 515: True label = 5, Predicted = 16
Sample 516: True label = 5, Predicted = 18
Sample 517: True label = 5, Predicted = 7
Sample 518: True label = 5, Predicted = 1
Sample 519: True label = 5, Predicted = 0
Sample 520: True label = 5, Predicted = 1
Sample 521: True label = 5, Predicted = 1
Sample 522: True label = 5, Predicted = 1
Sample 523: True label = 5, Predicted = 18
Sample 524: True label = 5, Predicted = 6
Sample 525: True label = 5, Predicted = 0
Sample 526: True label = 5, Predicted = 1
Sample 527: True label = 5, Predicted = 18
Sample 528: True label = 5, Predicted = 18
Sample 529: True label = 5, Predicted = 18
Sample 530: True label = 5, Predicted = 7
Sample 531: True label = 5, Predicted = 7
Sample 532: True label = 5, Predicted = 18
Sample 533: True label = 5, Predicted = 1
Sample 534: True label = 5, Predicted = 18
Sample 535: True label = 5, Predicted = 1
Sample 536: True label = 5, Predicted = 7
Sample 537: True label = 5, Predicted = 7
Sample 538: True label = 5, Predicted = 18
Sample 539: True label = 5, Predicted = 1
Sample 540: True label = 5, Predicted = 7
Sample 541: True label = 5, Predicted = 0
Sample 542: True label = 5, Predicted = 1
Sample 543: True label = 5, Predicted = 7
Sample 544: True label = 5, Predicted = 7
Sample 545: True label = 5, Predicted = 7
Sample 546: True label = 5, Predicted = 18
Sample 547: True label = 5, Predicted = 0
Sample 548: True label = 5, Predicted = 1
Sample 549: True label = 5, Predicted = 16
Sample 550: True label = 5, Predicted = 18
Sample 551: True label = 5, Predicted = 18
Sample 552: True label = 5, Predicted = 18
Sample 553: True label = 5, Predicted = 0
Sample 554: True label = 5, Predicted = 1
Sample 555: True label = 5, Predicted = 18
Sample 556: True label = 5, Predicted = 18
Sample 557: True label = 5, Predicted = 18
Sample 558: True label = 5, Predicted = 7
Sample 559: True label = 5, Predicted = 0
Sample 560: True label = 5, Predicted = 1
Sample 561: True label = 5, Predicted = 18
Sample 562: True label = 5, Predicted = 6
Sample 563: True label = 5, Predicted = 7
Sample 564: True label = 5, Predicted = 7
Sample 565: True label = 5, Predicted = 7
Sample 566: True label = 5, Predicted = 7
Sample 567: True label = 5, Predicted = 18
Sample 568: True label = 5, Predicted = 7
Sample 569: True label = 5, Predicted = 0
Sample 570: True label = 5, Predicted = 1
Sample 571: True label = 5, Predicted = 1
Sample 572: True label = 5, Predicted = 1
Sample 573: True label = 5, Predicted = 1
Sample 574: True label = 5, Predicted = 1
Sample 575: True label = 5, Predicted = 1
Sample 576: True label = 5, Predicted = 7
Sample 577: True label = 5, Predicted = 7
Sample 578: True label = 5, Predicted = 1
Sample 579: True label = 5, Predicted = 1
Sample 580: True label = 5, Predicted = 1
Sample 581: True label = 5, Predicted = 1
Sample 582: True label = 5, Predicted = 7
Sample 583: True label = 5, Predicted = 6
Sample 584: True label = 5, Predicted = 1
Sample 585: True label = 5, Predicted = 1
Sample 586: True label = 5, Predicted = 18
Sample 587: True label = 5, Predicted = 7
Sample 588: True label = 5, Predicted = 7
Sample 589: True label = 5, Predicted = 7
Sample 590: True label = 5, Predicted = 1
Sample 591: True label = 5, Predicted = 1
Sample 592: True label = 5, Predicted = 7
Sample 593: True label = 5, Predicted = 1
Sample 594: True label = 5, Predicted = 18
Sample 595: True label = 5, Predicted = 1
Sample 596: True label = 5, Predicted = 7
Sample 597: True label = 5, Predicted = 18
Sample 598: True label = 5, Predicted = 18
Sample 599: True label = 5, Predicted = 18
Sample 661: True label = 6, Predicted = 7
Sample 674: True label = 6, Predicted = 7
Sample 685: True label = 6, Predicted = 18
Sample 707: True label = 7, Predicted = 1
Sample 708: True label = 7, Predicted = 18
Sample 721: True label = 7, Predicted = 1
Sample 725: True label = 7, Predicted = 12
Sample 726: True label = 7, Predicted = 12
Sample 727: True label = 7, Predicted = 18
Sample 729: True label = 7, Predicted = 1
Sample 737: True label = 7, Predicted = 1
Sample 742: True label = 7, Predicted = 1
Sample 749: True label = 7, Predicted = 1
Sample 751: True label = 7, Predicted = 1
Sample 757: True label = 7, Predicted = 12
Sample 760: True label = 7, Predicted = 1
Sample 764: True label = 7, Predicted = 1
Sample 769: True label = 7, Predicted = 1
Sample 775: True label = 7, Predicted = 1
Sample 776: True label = 7, Predicted = 1
Sample 778: True label = 7, Predicted = 12
Sample 779: True label = 7, Predicted = 1
Sample 780: True label = 7, Predicted = 18
Sample 782: True label = 7, Predicted = 1
Sample 784: True label = 7, Predicted = 1
Sample 785: True label = 7, Predicted = 12
Sample 789: True label = 7, Predicted = 6
Sample 790: True label = 7, Predicted = 6
Sample 791: True label = 7, Predicted = 18
Sample 796: True label = 7, Predicted = 18
Sample 798: True label = 7, Predicted = 12
Sample 799: True label = 7, Predicted = 12
Sample 800: True label = 8, Predicted = 3
Sample 801: True label = 8, Predicted = 18
Sample 802: True label = 8, Predicted = 1
Sample 803: True label = 8, Predicted = 1
Sample 804: True label = 8, Predicted = 3
Sample 805: True label = 8, Predicted = 13
Sample 806: True label = 8, Predicted = 18
Sample 807: True label = 8, Predicted = 3
Sample 808: True label = 8, Predicted = 3
Sample 809: True label = 8, Predicted = 1
Sample 810: True label = 8, Predicted = 3
Sample 811: True label = 8, Predicted = 1
Sample 812: True label = 8, Predicted = 18
Sample 813: True label = 8, Predicted = 13
Sample 814: True label = 8, Predicted = 3
Sample 815: True label = 8, Predicted = 3
Sample 816: True label = 8, Predicted = 3
Sample 817: True label = 8, Predicted = 18
Sample 818: True label = 8, Predicted = 13
Sample 819: True label = 8, Predicted = 3
Sample 820: True label = 8, Predicted = 18
Sample 821: True label = 8, Predicted = 3
Sample 822: True label = 8, Predicted = 3
Sample 823: True label = 8, Predicted = 3
Sample 824: True label = 8, Predicted = 13
Sample 825: True label = 8, Predicted = 13
Sample 826: True label = 8, Predicted = 18
Sample 827: True label = 8, Predicted = 3
Sample 828: True label = 8, Predicted = 13
Sample 829: True label = 8, Predicted = 1
Sample 830: True label = 8, Predicted = 18
Sample 831: True label = 8, Predicted = 18
Sample 832: True label = 8, Predicted = 18
Sample 833: True label = 8, Predicted = 3
Sample 834: True label = 8, Predicted = 3
Sample 835: True label = 8, Predicted = 3
Sample 836: True label = 8, Predicted = 13
Sample 837: True label = 8, Predicted = 18
Sample 838: True label = 8, Predicted = 13
Sample 839: True label = 8, Predicted = 9
Sample 840: True label = 8, Predicted = 3
Sample 841: True label = 8, Predicted = 3
Sample 842: True label = 8, Predicted = 13
Sample 843: True label = 8, Predicted = 3
Sample 844: True label = 8, Predicted = 13
Sample 845: True label = 8, Predicted = 1
Sample 846: True label = 8, Predicted = 18
Sample 847: True label = 8, Predicted = 18
Sample 848: True label = 8, Predicted = 3
Sample 849: True label = 8, Predicted = 3
Sample 850: True label = 8, Predicted = 13
Sample 851: True label = 8, Predicted = 18
Sample 852: True label = 8, Predicted = 18
Sample 853: True label = 8, Predicted = 3
Sample 854: True label = 8, Predicted = 18
Sample 855: True label = 8, Predicted = 18
Sample 856: True label = 8, Predicted = 13
Sample 857: True label = 8, Predicted = 3
Sample 858: True label = 8, Predicted = 9
Sample 859: True label = 8, Predicted = 3
Sample 860: True label = 8, Predicted = 13
Sample 861: True label = 8, Predicted = 3
Sample 862: True label = 8, Predicted = 13
Sample 863: True label = 8, Predicted = 1
Sample 864: True label = 8, Predicted = 13
Sample 865: True label = 8, Predicted = 18
Sample 866: True label = 8, Predicted = 3
Sample 867: True label = 8, Predicted = 18
Sample 868: True label = 8, Predicted = 13
Sample 869: True label = 8, Predicted = 3
Sample 870: True label = 8, Predicted = 3
Sample 871: True label = 8, Predicted = 3
Sample 872: True label = 8, Predicted = 13
Sample 873: True label = 8, Predicted = 3
Sample 874: True label = 8, Predicted = 13
Sample 875: True label = 8, Predicted = 13
Sample 876: True label = 8, Predicted = 18
Sample 877: True label = 8, Predicted = 1
Sample 878: True label = 8, Predicted = 3
Sample 879: True label = 8, Predicted = 3
Sample 880: True label = 8, Predicted = 13
Sample 881: True label = 8, Predicted = 3
Sample 882: True label = 8, Predicted = 13
Sample 883: True label = 8, Predicted = 1
Sample 884: True label = 8, Predicted = 3
Sample 885: True label = 8, Predicted = 18
Sample 886: True label = 8, Predicted = 3
Sample 887: True label = 8, Predicted = 1
Sample 888: True label = 8, Predicted = 18
Sample 889: True label = 8, Predicted = 13
Sample 890: True label = 8, Predicted = 3
Sample 891: True label = 8, Predicted = 3
Sample 892: True label = 8, Predicted = 3
Sample 893: True label = 8, Predicted = 3
Sample 894: True label = 8, Predicted = 3
Sample 895: True label = 8, Predicted = 3
Sample 896: True label = 8, Predicted = 18
Sample 897: True label = 8, Predicted = 13
Sample 898: True label = 8, Predicted = 3
Sample 899: True label = 8, Predicted = 18
Sample 901: True label = 9, Predicted = 18
Sample 902: True label = 9, Predicted = 18
Sample 906: True label = 9, Predicted = 18
Sample 907: True label = 9, Predicted = 18
Sample 908: True label = 9, Predicted = 18
Sample 912: True label = 9, Predicted = 18
Sample 916: True label = 9, Predicted = 18
Sample 919: True label = 9, Predicted = 18
Sample 921: True label = 9, Predicted = 18
Sample 923: True label = 9, Predicted = 18
Sample 925: True label = 9, Predicted = 18
Sample 932: True label = 9, Predicted = 18
Sample 933: True label = 9, Predicted = 18
Sample 937: True label = 9, Predicted = 13
Sample 938: True label = 9, Predicted = 18
Sample 940: True label = 9, Predicted = 18
Sample 942: True label = 9, Predicted = 18
Sample 943: True label = 9, Predicted = 18
Sample 945: True label = 9, Predicted = 18
Sample 946: True label = 9, Predicted = 1
Sample 948: True label = 9, Predicted = 18
Sample 953: True label = 9, Predicted = 18
Sample 961: True label = 9, Predicted = 1
Sample 969: True label = 9, Predicted = 18
Sample 970: True label = 9, Predicted = 18
Sample 971: True label = 9, Predicted = 18
Sample 972: True label = 9, Predicted = 18
Sample 975: True label = 9, Predicted = 18
Sample 980: True label = 9, Predicted = 18
Sample 981: True label = 9, Predicted = 18
Sample 987: True label = 9, Predicted = 18
Sample 988: True label = 9, Predicted = 18
Sample 989: True label = 9, Predicted = 3
Sample 991: True label = 9, Predicted = 18
Sample 993: True label = 9, Predicted = 18
Sample 997: True label = 9, Predicted = 18
Sample 998: True label = 9, Predicted = 18
Sample 1000: True label = 10, Predicted = 3
Sample 1001: True label = 10, Predicted = 19
Sample 1002: True label = 10, Predicted = 3
Sample 1003: True label = 10, Predicted = 3
Sample 1005: True label = 10, Predicted = 19
Sample 1006: True label = 10, Predicted = 3
Sample 1007: True label = 10, Predicted = 19
Sample 1008: True label = 10, Predicted = 19
Sample 1009: True label = 10, Predicted = 19
Sample 1010: True label = 10, Predicted = 19
Sample 1011: True label = 10, Predicted = 19
Sample 1012: True label = 10, Predicted = 19
Sample 1013: True label = 10, Predicted = 3
Sample 1014: True label = 10, Predicted = 19
Sample 1016: True label = 10, Predicted = 19
Sample 1017: True label = 10, Predicted = 3
Sample 1018: True label = 10, Predicted = 19
Sample 1019: True label = 10, Predicted = 19
Sample 1020: True label = 10, Predicted = 19
Sample 1021: True label = 10, Predicted = 19
Sample 1022: True label = 10, Predicted = 19
Sample 1023: True label = 10, Predicted = 19
Sample 1024: True label = 10, Predicted = 19
Sample 1025: True label = 10, Predicted = 19
Sample 1026: True label = 10, Predicted = 3
Sample 1027: True label = 10, Predicted = 19
Sample 1028: True label = 10, Predicted = 19
Sample 1029: True label = 10, Predicted = 3
Sample 1030: True label = 10, Predicted = 3
Sample 1031: True label = 10, Predicted = 19
Sample 1032: True label = 10, Predicted = 19
Sample 1033: True label = 10, Predicted = 19
Sample 1034: True label = 10, Predicted = 3
Sample 1035: True label = 10, Predicted = 19
Sample 1036: True label = 10, Predicted = 19
Sample 1037: True label = 10, Predicted = 19
Sample 1038: True label = 10, Predicted = 3
Sample 1039: True label = 10, Predicted = 19
Sample 1040: True label = 10, Predicted = 19
Sample 1041: True label = 10, Predicted = 19
Sample 1043: True label = 10, Predicted = 19
Sample 1044: True label = 10, Predicted = 19
Sample 1045: True label = 10, Predicted = 19
Sample 1046: True label = 10, Predicted = 3
Sample 1047: True label = 10, Predicted = 19
Sample 1048: True label = 10, Predicted = 19
Sample 1049: True label = 10, Predicted = 19
Sample 1050: True label = 10, Predicted = 19
Sample 1051: True label = 10, Predicted = 19
Sample 1052: True label = 10, Predicted = 19
Sample 1053: True label = 10, Predicted = 19
Sample 1054: True label = 10, Predicted = 19
Sample 1055: True label = 10, Predicted = 19
Sample 1056: True label = 10, Predicted = 3
Sample 1057: True label = 10, Predicted = 19
Sample 1058: True label = 10, Predicted = 19
Sample 1059: True label = 10, Predicted = 7
Sample 1060: True label = 10, Predicted = 19
Sample 1061: True label = 10, Predicted = 19
Sample 1062: True label = 10, Predicted = 3
Sample 1063: True label = 10, Predicted = 19
Sample 1064: True label = 10, Predicted = 19
Sample 1065: True label = 10, Predicted = 19
Sample 1066: True label = 10, Predicted = 19
Sample 1067: True label = 10, Predicted = 19
Sample 1069: True label = 10, Predicted = 3
Sample 1070: True label = 10, Predicted = 19
Sample 1072: True label = 10, Predicted = 19
Sample 1073: True label = 10, Predicted = 3
Sample 1074: True label = 10, Predicted = 19
Sample 1075: True label = 10, Predicted = 19
Sample 1076: True label = 10, Predicted = 19
Sample 1078: True label = 10, Predicted = 19
Sample 1079: True label = 10, Predicted = 19
Sample 1080: True label = 10, Predicted = 19
Sample 1081: True label = 10, Predicted = 3
Sample 1082: True label = 10, Predicted = 19
Sample 1083: True label = 10, Predicted = 19
Sample 1084: True label = 10, Predicted = 19
Sample 1085: True label = 10, Predicted = 19
Sample 1086: True label = 10, Predicted = 19
Sample 1087: True label = 10, Predicted = 19
Sample 1089: True label = 10, Predicted = 3
Sample 1090: True label = 10, Predicted = 3
Sample 1091: True label = 10, Predicted = 19
Sample 1092: True label = 10, Predicted = 19
Sample 1094: True label = 10, Predicted = 19
Sample 1096: True label = 10, Predicted = 3
Sample 1097: True label = 10, Predicted = 19
Sample 1098: True label = 10, Predicted = 19
Sample 1099: True label = 10, Predicted = 3
Sample 1100: True label = 11, Predicted = 1
Sample 1102: True label = 11, Predicted = 18
Sample 1103: True label = 11, Predicted = 18
Sample 1105: True label = 11, Predicted = 1
Sample 1109: True label = 11, Predicted = 6
Sample 1110: True label = 11, Predicted = 6
Sample 1117: True label = 11, Predicted = 6
Sample 1120: True label = 11, Predicted = 6
Sample 1125: True label = 11, Predicted = 18
Sample 1126: True label = 11, Predicted = 18
Sample 1128: True label = 11, Predicted = 6
Sample 1132: True label = 11, Predicted = 9
Sample 1134: True label = 11, Predicted = 18
Sample 1138: True label = 11, Predicted = 18
Sample 1141: True label = 11, Predicted = 1
Sample 1147: True label = 11, Predicted = 3
Sample 1151: True label = 11, Predicted = 6
Sample 1154: True label = 11, Predicted = 18
Sample 1155: True label = 11, Predicted = 6
Sample 1156: True label = 11, Predicted = 6
Sample 1159: True label = 11, Predicted = 18
Sample 1166: True label = 11, Predicted = 18
Sample 1170: True label = 11, Predicted = 6
Sample 1171: True label = 11, Predicted = 18
Sample 1173: True label = 11, Predicted = 6
Sample 1176: True label = 11, Predicted = 18
Sample 1178: True label = 11, Predicted = 6
Sample 1184: True label = 11, Predicted = 18
Sample 1186: True label = 11, Predicted = 6
Sample 1187: True label = 11, Predicted = 6
Sample 1193: True label = 11, Predicted = 6
Sample 1196: True label = 11, Predicted = 18
Sample 1197: True label = 11, Predicted = 6
Sample 1199: True label = 11, Predicted = 18
Sample 1201: True label = 12, Predicted = 13
Sample 1202: True label = 12, Predicted = 13
Sample 1204: True label = 12, Predicted = 13
Sample 1205: True label = 12, Predicted = 13
Sample 1206: True label = 12, Predicted = 13
Sample 1207: True label = 12, Predicted = 13
Sample 1208: True label = 12, Predicted = 13
Sample 1209: True label = 12, Predicted = 13
Sample 1210: True label = 12, Predicted = 13
Sample 1211: True label = 12, Predicted = 13
Sample 1212: True label = 12, Predicted = 13
