Loaded 4000 images from jk_zfls/round0_train
Loaded 2400 images from jk_zfls/round0_eval
Epoch: 0, Batch: 0, Loss: 3.0791
Epoch: 0, Batch: 10, Loss: 1.0629
Epoch: 0, Batch: 20, Loss: 0.3801
Epoch: 0, Batch: 30, Loss: 0.1427

Incorrect predictions:
Sample 1: True label = 0, Predicted = 18
Sample 200: True label = 2, Predicted = 11
Sample 201: True label = 2, Predicted = 6
Sample 202: True label = 2, Predicted = 11
Sample 203: True label = 2, Predicted = 11
Sample 204: True label = 2, Predicted = 11
Sample 205: True label = 2, Predicted = 11
Sample 206: True label = 2, Predicted = 11
Sample 207: True label = 2, Predicted = 11
Sample 208: True label = 2, Predicted = 11
Sample 209: True label = 2, Predicted = 6
Sample 210: True label = 2, Predicted = 11
Sample 211: True label = 2, Predicted = 6
Sample 212: True label = 2, Predicted = 11
Sample 213: True label = 2, Predicted = 11
Sample 214: True label = 2, Predicted = 11
Sample 215: True label = 2, Predicted = 11
Sample 216: True label = 2, Predicted = 11
Sample 217: True label = 2, Predicted = 11
Sample 218: True label = 2, Predicted = 11
Sample 219: True label = 2, Predicted = 6
Sample 220: True label = 2, Predicted = 11
Sample 221: True label = 2, Predicted = 11
Sample 222: True label = 2, Predicted = 11
Sample 223: True label = 2, Predicted = 11
Sample 224: True label = 2, Predicted = 11
Sample 225: True label = 2, Predicted = 11
Sample 226: True label = 2, Predicted = 11
Sample 227: True label = 2, Predicted = 11
Sample 228: True label = 2, Predicted = 11
Sample 229: True label = 2, Predicted = 10
Sample 230: True label = 2, Predicted = 11
Sample 231: True label = 2, Predicted = 11
Sample 232: True label = 2, Predicted = 11
Sample 233: True label = 2, Predicted = 11
Sample 234: True label = 2, Predicted = 11
Sample 235: True label = 2, Predicted = 11
Sample 236: True label = 2, Predicted = 11
Sample 237: True label = 2, Predicted = 11
Sample 238: True label = 2, Predicted = 10
Sample 239: True label = 2, Predicted = 11
Sample 240: True label = 2, Predicted = 11
Sample 241: True label = 2, Predicted = 11
Sample 242: True label = 2, Predicted = 11
Sample 243: True label = 2, Predicted = 11
Sample 244: True label = 2, Predicted = 11
Sample 245: True label = 2, Predicted = 11
Sample 246: True label = 2, Predicted = 11
Sample 247: True label = 2, Predicted = 11
Sample 248: True label = 2, Predicted = 11
Sample 249: True label = 2, Predicted = 11
Sample 250: True label = 2, Predicted = 11
Sample 251: True label = 2, Predicted = 11
Sample 252: True label = 2, Predicted = 11
Sample 253: True label = 2, Predicted = 11
Sample 254: True label = 2, Predicted = 11
Sample 255: True label = 2, Predicted = 11
Sample 256: True label = 2, Predicted = 11
Sample 257: True label = 2, Predicted = 11
Sample 258: True label = 2, Predicted = 11
Sample 259: True label = 2, Predicted = 11
Sample 260: True label = 2, Predicted = 11
Sample 261: True label = 2, Predicted = 11
Sample 262: True label = 2, Predicted = 11
Sample 263: True label = 2, Predicted = 11
Sample 264: True label = 2, Predicted = 11
Sample 265: True label = 2, Predicted = 11
Sample 266: True label = 2, Predicted = 11
Sample 267: True label = 2, Predicted = 11
Sample 268: True label = 2, Predicted = 6
Sample 269: True label = 2, Predicted = 11
Sample 270: True label = 2, Predicted = 11
Sample 271: True label = 2, Predicted = 11
Sample 272: True label = 2, Predicted = 11
Sample 273: True label = 2, Predicted = 6
Sample 274: True label = 2, Predicted = 11
Sample 275: True label = 2, Predicted = 11
Sample 276: True label = 2, Predicted = 11
Sample 277: True label = 2, Predicted = 6
Sample 278: True label = 2, Predicted = 11
Sample 279: True label = 2, Predicted = 11
Sample 280: True label = 2, Predicted = 11
Sample 281: True label = 2, Predicted = 11
Sample 282: True label = 2, Predicted = 11
Sample 283: True label = 2, Predicted = 11
Sample 284: True label = 2, Predicted = 11
Sample 285: True label = 2, Predicted = 11
Sample 286: True label = 2, Predicted = 11
Sample 287: True label = 2, Predicted = 11
Sample 288: True label = 2, Predicted = 6
Sample 289: True label = 2, Predicted = 10
Sample 290: True label = 2, Predicted = 11
Sample 291: True label = 2, Predicted = 11
Sample 292: True label = 2, Predicted = 11
Sample 293: True label = 2, Predicted = 11
Sample 294: True label = 2, Predicted = 11
Sample 295: True label = 2, Predicted = 11
Sample 296: True label = 2, Predicted = 11
Sample 297: True label = 2, Predicted = 11
Sample 298: True label = 2, Predicted = 11
Sample 299: True label = 2, Predicted = 11
Sample 300: True label = 3, Predicted = 11
Sample 301: True label = 3, Predicted = 11
Sample 302: True label = 3, Predicted = 11
Sample 303: True label = 3, Predicted = 11
Sample 304: True label = 3, Predicted = 11
Sample 305: True label = 3, Predicted = 11
Sample 306: True label = 3, Predicted = 11
Sample 307: True label = 3, Predicted = 11
Sample 308: True label = 3, Predicted = 11
Sample 309: True label = 3, Predicted = 11
Sample 310: True label = 3, Predicted = 11
Sample 311: True label = 3, Predicted = 11
Sample 312: True label = 3, Predicted = 11
Sample 313: True label = 3, Predicted = 11
Sample 314: True label = 3, Predicted = 11
Sample 315: True label = 3, Predicted = 11
Sample 316: True label = 3, Predicted = 11
Sample 317: True label = 3, Predicted = 11
Sample 318: True label = 3, Predicted = 11
Sample 319: True label = 3, Predicted = 11
Sample 320: True label = 3, Predicted = 11
Sample 321: True label = 3, Predicted = 11
Sample 322: True label = 3, Predicted = 11
Sample 323: True label = 3, Predicted = 11
Sample 324: True label = 3, Predicted = 11
Sample 325: True label = 3, Predicted = 11
Sample 326: True label = 3, Predicted = 11
Sample 327: True label = 3, Predicted = 11
Sample 328: True label = 3, Predicted = 11
Sample 329: True label = 3, Predicted = 11
Sample 330: True label = 3, Predicted = 11
Sample 331: True label = 3, Predicted = 11
Sample 332: True label = 3, Predicted = 11
Sample 333: True label = 3, Predicted = 11
Sample 334: True label = 3, Predicted = 11
Sample 335: True label = 3, Predicted = 11
Sample 336: True label = 3, Predicted = 11
Sample 337: True label = 3, Predicted = 11
Sample 338: True label = 3, Predicted = 11
Sample 339: True label = 3, Predicted = 11
Sample 340: True label = 3, Predicted = 11
Sample 341: True label = 3, Predicted = 11
Sample 342: True label = 3, Predicted = 11
Sample 343: True label = 3, Predicted = 11
Sample 344: True label = 3, Predicted = 11
Sample 345: True label = 3, Predicted = 11
Sample 346: True label = 3, Predicted = 11
Sample 347: True label = 3, Predicted = 11
Sample 348: True label = 3, Predicted = 11
Sample 349: True label = 3, Predicted = 11
Sample 350: True label = 3, Predicted = 11
Sample 351: True label = 3, Predicted = 11
Sample 352: True label = 3, Predicted = 11
Sample 353: True label = 3, Predicted = 6
Sample 354: True label = 3, Predicted = 11
Sample 355: True label = 3, Predicted = 11
Sample 356: True label = 3, Predicted = 11
Sample 357: True label = 3, Predicted = 11
Sample 358: True label = 3, Predicted = 11
Sample 359: True label = 3, Predicted = 11
Sample 360: True label = 3, Predicted = 11
Sample 361: True label = 3, Predicted = 11
Sample 362: True label = 3, Predicted = 11
Sample 363: True label = 3, Predicted = 11
Sample 364: True label = 3, Predicted = 11
Sample 365: True label = 3, Predicted = 11
Sample 366: True label = 3, Predicted = 11
Sample 367: True label = 3, Predicted = 11
Sample 368: True label = 3, Predicted = 11
Sample 369: True label = 3, Predicted = 11
Sample 370: True label = 3, Predicted = 11
Sample 371: True label = 3, Predicted = 11
Sample 372: True label = 3, Predicted = 11
Sample 373: True label = 3, Predicted = 11
Sample 374: True label = 3, Predicted = 11
Sample 375: True label = 3, Predicted = 11
Sample 376: True label = 3, Predicted = 11
Sample 377: True label = 3, Predicted = 11
Sample 378: True label = 3, Predicted = 11
Sample 379: True label = 3, Predicted = 11
Sample 380: True label = 3, Predicted = 11
Sample 381: True label = 3, Predicted = 11
Sample 382: True label = 3, Predicted = 11
Sample 383: True label = 3, Predicted = 11
Sample 384: True label = 3, Predicted = 11
Sample 385: True label = 3, Predicted = 11
Sample 386: True label = 3, Predicted = 11
Sample 387: True label = 3, Predicted = 11
Sample 388: True label = 3, Predicted = 11
Sample 389: True label = 3, Predicted = 11
Sample 390: True label = 3, Predicted = 11
Sample 391: True label = 3, Predicted = 11
Sample 392: True label = 3, Predicted = 11
Sample 393: True label = 3, Predicted = 11
Sample 394: True label = 3, Predicted = 11
Sample 395: True label = 3, Predicted = 11
Sample 396: True label = 3, Predicted = 11
Sample 397: True label = 3, Predicted = 11
Sample 398: True label = 3, Predicted = 11
Sample 399: True label = 3, Predicted = 11
Sample 400: True label = 4, Predicted = 11
Sample 401: True label = 4, Predicted = 11
Sample 402: True label = 4, Predicted = 6
Sample 403: True label = 4, Predicted = 11
Sample 404: True label = 4, Predicted = 11
Sample 405: True label = 4, Predicted = 11
Sample 406: True label = 4, Predicted = 11
Sample 407: True label = 4, Predicted = 11
Sample 408: True label = 4, Predicted = 11
Sample 409: True label = 4, Predicted = 11
Sample 410: True label = 4, Predicted = 11
Sample 411: True label = 4, Predicted = 11
Sample 412: True label = 4, Predicted = 11
Sample 413: True label = 4, Predicted = 11
Sample 414: True label = 4, Predicted = 11
Sample 415: True label = 4, Predicted = 6
Sample 416: True label = 4, Predicted = 11
Sample 417: True label = 4, Predicted = 11
Sample 418: True label = 4, Predicted = 11
Sample 419: True label = 4, Predicted = 11
Sample 420: True label = 4, Predicted = 11
Sample 421: True label = 4, Predicted = 11
Sample 422: True label = 4, Predicted = 11
Sample 423: True label = 4, Predicted = 6
Sample 424: True label = 4, Predicted = 11
Sample 425: True label = 4, Predicted = 11
Sample 426: True label = 4, Predicted = 11
Sample 427: True label = 4, Predicted = 11
Sample 428: True label = 4, Predicted = 11
Sample 429: True label = 4, Predicted = 11
Sample 430: True label = 4, Predicted = 11
Sample 431: True label = 4, Predicted = 11
Sample 432: True label = 4, Predicted = 11
Sample 433: True label = 4, Predicted = 11
Sample 434: True label = 4, Predicted = 11
Sample 435: True label = 4, Predicted = 11
Sample 436: True label = 4, Predicted = 11
Sample 437: True label = 4, Predicted = 11
Sample 438: True label = 4, Predicted = 11
Sample 439: True label = 4, Predicted = 11
Sample 440: True label = 4, Predicted = 11
Sample 441: True label = 4, Predicted = 11
Sample 442: True label = 4, Predicted = 11
Sample 443: True label = 4, Predicted = 11
Sample 444: True label = 4, Predicted = 6
Sample 445: True label = 4, Predicted = 11
Sample 446: True label = 4, Predicted = 11
Sample 447: True label = 4, Predicted = 11
Sample 448: True label = 4, Predicted = 11
Sample 449: True label = 4, Predicted = 11
Sample 450: True label = 4, Predicted = 11
Sample 451: True label = 4, Predicted = 11
Sample 452: True label = 4, Predicted = 11
Sample 453: True label = 4, Predicted = 11
Sample 454: True label = 4, Predicted = 11
Sample 455: True label = 4, Predicted = 11
Sample 456: True label = 4, Predicted = 11
Sample 457: True label = 4, Predicted = 11
Sample 458: True label = 4, Predicted = 11
Sample 459: True label = 4, Predicted = 11
Sample 460: True label = 4, Predicted = 11
Sample 461: True label = 4, Predicted = 11
Sample 462: True label = 4, Predicted = 11
Sample 463: True label = 4, Predicted = 11
Sample 464: True label = 4, Predicted = 11
Sample 465: True label = 4, Predicted = 11
Sample 466: True label = 4, Predicted = 11
Sample 467: True label = 4, Predicted = 11
Sample 468: True label = 4, Predicted = 11
Sample 469: True label = 4, Predicted = 11
Sample 470: True label = 4, Predicted = 11
Sample 471: True label = 4, Predicted = 11
Sample 472: True label = 4, Predicted = 11
Sample 473: True label = 4, Predicted = 11
Sample 474: True label = 4, Predicted = 11
Sample 475: True label = 4, Predicted = 11
Sample 476: True label = 4, Predicted = 11
Sample 477: True label = 4, Predicted = 11
Sample 478: True label = 4, Predicted = 11
Sample 479: True label = 4, Predicted = 11
Sample 480: True label = 4, Predicted = 11
Sample 481: True label = 4, Predicted = 11
Sample 482: True label = 4, Predicted = 11
Sample 483: True label = 4, Predicted = 11
Sample 484: True label = 4, Predicted = 11
Sample 485: True label = 4, Predicted = 11
Sample 486: True label = 4, Predicted = 11
Sample 487: True label = 4, Predicted = 11
Sample 488: True label = 4, Predicted = 11
Sample 489: True label = 4, Predicted = 11
Sample 490: True label = 4, Predicted = 11
Sample 491: True label = 4, Predicted = 11
Sample 492: True label = 4, Predicted = 6
Sample 493: True label = 4, Predicted = 11
Sample 494: True label = 4, Predicted = 6
Sample 495: True label = 4, Predicted = 11
Sample 496: True label = 4, Predicted = 11
Sample 497: True label = 4, Predicted = 11
Sample 498: True label = 4, Predicted = 11
Sample 499: True label = 4, Predicted = 11
Sample 500: True label = 5, Predicted = 6
Sample 501: True label = 5, Predicted = 6
Sample 502: True label = 5, Predicted = 6
Sample 503: True label = 5, Predicted = 6
Sample 504: True label = 5, Predicted = 6
Sample 505: True label = 5, Predicted = 7
Sample 506: True label = 5, Predicted = 6
Sample 507: True label = 5, Predicted = 7
Sample 508: True label = 5, Predicted = 6
Sample 509: True label = 5, Predicted = 6
Sample 510: True label = 5, Predicted = 6
Sample 511: True label = 5, Predicted = 6
Sample 512: True label = 5, Predicted = 7
Sample 513: True label = 5, Predicted = 7
Sample 514: True label = 5, Predicted = 6
Sample 515: True label = 5, Predicted = 6
Sample 516: True label = 5, Predicted = 6
Sample 517: True label = 5, Predicted = 6
Sample 518: True label = 5, Predicted = 7
Sample 519: True label = 5, Predicted = 6
Sample 520: True label = 5, Predicted = 7
Sample 521: True label = 5, Predicted = 7
Sample 522: True label = 5, Predicted = 7
Sample 523: True label = 5, Predicted = 6
Sample 524: True label = 5, Predicted = 6
Sample 525: True label = 5, Predicted = 6
Sample 526: True label = 5, Predicted = 7
Sample 527: True label = 5, Predicted = 6
Sample 528: True label = 5, Predicted = 7
Sample 529: True label = 5, Predicted = 6
Sample 530: True label = 5, Predicted = 7
Sample 531: True label = 5, Predicted = 7
Sample 532: True label = 5, Predicted = 6
Sample 533: True label = 5, Predicted = 7
Sample 534: True label = 5, Predicted = 6
Sample 535: True label = 5, Predicted = 7
Sample 536: True label = 5, Predicted = 7
Sample 537: True label = 5, Predicted = 6
Sample 538: True label = 5, Predicted = 6
Sample 539: True label = 5, Predicted = 7
Sample 540: True label = 5, Predicted = 6
Sample 541: True label = 5, Predicted = 6
Sample 542: True label = 5, Predicted = 7
Sample 543: True label = 5, Predicted = 6
Sample 544: True label = 5, Predicted = 7
Sample 545: True label = 5, Predicted = 6
Sample 546: True label = 5, Predicted = 6
Sample 547: True label = 5, Predicted = 6
Sample 548: True label = 5, Predicted = 7
Sample 549: True label = 5, Predicted = 6
Sample 550: True label = 5, Predicted = 6
Sample 551: True label = 5, Predicted = 6
Sample 552: True label = 5, Predicted = 6
Sample 553: True label = 5, Predicted = 6
Sample 554: True label = 5, Predicted = 7
Sample 555: True label = 5, Predicted = 6
Sample 556: True label = 5, Predicted = 6
Sample 557: True label = 5, Predicted = 6
Sample 558: True label = 5, Predicted = 6
Sample 559: True label = 5, Predicted = 6
Sample 560: True label = 5, Predicted = 7
Sample 561: True label = 5, Predicted = 6
Sample 562: True label = 5, Predicted = 6
Sample 563: True label = 5, Predicted = 7
Sample 564: True label = 5, Predicted = 6
Sample 565: True label = 5, Predicted = 6
Sample 566: True label = 5, Predicted = 6
Sample 567: True label = 5, Predicted = 6
Sample 568: True label = 5, Predicted = 6
Sample 569: True label = 5, Predicted = 6
Sample 570: True label = 5, Predicted = 7
Sample 571: True label = 5, Predicted = 7
Sample 572: True label = 5, Predicted = 7
Sample 573: True label = 5, Predicted = 7
Sample 574: True label = 5, Predicted = 6
Sample 575: True label = 5, Predicted = 7
Sample 576: True label = 5, Predicted = 6
Sample 577: True label = 5, Predicted = 6
Sample 578: True label = 5, Predicted = 6
Sample 579: True label = 5, Predicted = 6
Sample 580: True label = 5, Predicted = 7
Sample 581: True label = 5, Predicted = 6
Sample 582: True label = 5, Predicted = 6
Sample 583: True label = 5, Predicted = 6
Sample 584: True label = 5, Predicted = 7
Sample 585: True label = 5, Predicted = 7
Sample 586: True label = 5, Predicted = 6
Sample 587: True label = 5, Predicted = 7
Sample 588: True label = 5, Predicted = 6
Sample 589: True label = 5, Predicted = 7
Sample 590: True label = 5, Predicted = 7
Sample 591: True label = 5, Predicted = 6
Sample 592: True label = 5, Predicted = 7
Sample 593: True label = 5, Predicted = 6
Sample 594: True label = 5, Predicted = 6
Sample 595: True label = 5, Predicted = 6
Sample 596: True label = 5, Predicted = 6
Sample 597: True label = 5, Predicted = 7
Sample 598: True label = 5, Predicted = 6
Sample 599: True label = 5, Predicted = 6
Sample 661: True label = 6, Predicted = 11
Sample 702: True label = 7, Predicted = 6
Sample 703: True label = 7, Predicted = 6
Sample 707: True label = 7, Predicted = 6
Sample 708: True label = 7, Predicted = 6
Sample 709: True label = 7, Predicted = 6
Sample 711: True label = 7, Predicted = 6
Sample 714: True label = 7, Predicted = 6
Sample 716: True label = 7, Predicted = 6
Sample 718: True label = 7, Predicted = 6
Sample 727: True label = 7, Predicted = 6
Sample 729: True label = 7, Predicted = 6
Sample 730: True label = 7, Predicted = 6
Sample 733: True label = 7, Predicted = 6
Sample 735: True label = 7, Predicted = 6
Sample 740: True label = 7, Predicted = 6
Sample 741: True label = 7, Predicted = 6
Sample 747: True label = 7, Predicted = 6
Sample 750: True label = 7, Predicted = 11
Sample 751: True label = 7, Predicted = 11
Sample 755: True label = 7, Predicted = 6
Sample 760: True label = 7, Predicted = 6
Sample 766: True label = 7, Predicted = 6
Sample 773: True label = 7, Predicted = 6
Sample 780: True label = 7, Predicted = 6
Sample 782: True label = 7, Predicted = 6
Sample 789: True label = 7, Predicted = 6
Sample 790: True label = 7, Predicted = 6
Sample 791: True label = 7, Predicted = 6
Sample 795: True label = 7, Predicted = 11
Sample 796: True label = 7, Predicted = 6
Sample 797: True label = 7, Predicted = 6
Sample 798: True label = 7, Predicted = 6
Sample 799: True label = 7, Predicted = 6
Sample 800: True label = 8, Predicted = 6
Sample 801: True label = 8, Predicted = 11
Sample 802: True label = 8, Predicted = 11
Sample 803: True label = 8, Predicted = 11
Sample 804: True label = 8, Predicted = 11
Sample 805: True label = 8, Predicted = 11
Sample 806: True label = 8, Predicted = 11
Sample 807: True label = 8, Predicted = 11
Sample 808: True label = 8, Predicted = 11
Sample 809: True label = 8, Predicted = 11
Sample 810: True label = 8, Predicted = 11
Sample 811: True label = 8, Predicted = 11
Sample 812: True label = 8, Predicted = 11
Sample 813: True label = 8, Predicted = 11
Sample 814: True label = 8, Predicted = 11
Sample 815: True label = 8, Predicted = 11
Sample 816: True label = 8, Predicted = 11
Sample 817: True label = 8, Predicted = 11
Sample 818: True label = 8, Predicted = 11
Sample 819: True label = 8, Predicted = 11
Sample 820: True label = 8, Predicted = 11
Sample 821: True label = 8, Predicted = 11
Sample 822: True label = 8, Predicted = 11
Sample 823: True label = 8, Predicted = 11
Sample 824: True label = 8, Predicted = 11
Sample 825: True label = 8, Predicted = 11
Sample 826: True label = 8, Predicted = 11
Sample 827: True label = 8, Predicted = 11
Sample 828: True label = 8, Predicted = 11
Sample 829: True label = 8, Predicted = 11
Sample 830: True label = 8, Predicted = 11
Sample 831: True label = 8, Predicted = 11
Sample 832: True label = 8, Predicted = 11
Sample 833: True label = 8, Predicted = 11
Sample 834: True label = 8, Predicted = 11
Sample 835: True label = 8, Predicted = 11
Sample 836: True label = 8, Predicted = 11
Sample 837: True label = 8, Predicted = 11
Sample 838: True label = 8, Predicted = 11
Sample 839: True label = 8, Predicted = 11
Sample 840: True label = 8, Predicted = 11
Sample 841: True label = 8, Predicted = 11
Sample 842: True label = 8, Predicted = 11
Sample 843: True label = 8, Predicted = 11
Sample 844: True label = 8, Predicted = 11
Sample 845: True label = 8, Predicted = 11
Sample 846: True label = 8, Predicted = 11
Sample 847: True label = 8, Predicted = 11
Sample 848: True label = 8, Predicted = 11
Sample 849: True label = 8, Predicted = 11
Sample 850: True label = 8, Predicted = 11
Sample 851: True label = 8, Predicted = 11
Sample 852: True label = 8, Predicted = 11
Sample 853: True label = 8, Predicted = 11
Sample 854: True label = 8, Predicted = 11
Sample 855: True label = 8, Predicted = 11
Sample 856: True label = 8, Predicted = 11
Sample 857: True label = 8, Predicted = 11
Sample 858: True label = 8, Predicted = 11
Sample 859: True label = 8, Predicted = 11
Sample 860: True label = 8, Predicted = 11
Sample 861: True label = 8, Predicted = 6
Sample 862: True label = 8, Predicted = 11
Sample 863: True label = 8, Predicted = 11
Sample 864: True label = 8, Predicted = 11
Sample 865: True label = 8, Predicted = 11
Sample 866: True label = 8, Predicted = 11
Sample 867: True label = 8, Predicted = 11
Sample 868: True label = 8, Predicted = 11
Sample 869: True label = 8, Predicted = 11
Sample 870: True label = 8, Predicted = 11
Sample 871: True label = 8, Predicted = 11
Sample 872: True label = 8, Predicted = 11
Sample 873: True label = 8, Predicted = 11
Sample 874: True label = 8, Predicted = 11
Sample 875: True label = 8, Predicted = 11
Sample 876: True label = 8, Predicted = 11
Sample 877: True label = 8, Predicted = 11
Sample 878: True label = 8, Predicted = 11
Sample 879: True label = 8, Predicted = 11
Sample 880: True label = 8, Predicted = 11
Sample 881: True label = 8, Predicted = 11
Sample 882: True label = 8, Predicted = 11
Sample 883: True label = 8, Predicted = 11
Sample 884: True label = 8, Predicted = 10
Sample 885: True label = 8, Predicted = 11
Sample 886: True label = 8, Predicted = 11
Sample 887: True label = 8, Predicted = 11
Sample 888: True label = 8, Predicted = 11
Sample 889: True label = 8, Predicted = 11
Sample 890: True label = 8, Predicted = 11
Sample 891: True label = 8, Predicted = 11
Sample 892: True label = 8, Predicted = 11
Sample 893: True label = 8, Predicted = 11
Sample 894: True label = 8, Predicted = 11
Sample 895: True label = 8, Predicted = 11
Sample 896: True label = 8, Predicted = 11
Sample 897: True label = 8, Predicted = 11
Sample 898: True label = 8, Predicted = 11
Sample 899: True label = 8, Predicted = 11
Sample 900: True label = 9, Predicted = 11
Sample 901: True label = 9, Predicted = 11
Sample 902: True label = 9, Predicted = 11
Sample 903: True label = 9, Predicted = 11
Sample 904: True label = 9, Predicted = 11
